Commercial District,Address,City,State,Zip Code,Square Footage,Length of Vacancy,Ownership Type,Former Tenant/Current Business,Business for Sale,Leasing Activity,Recorded Owner,Leasing Contact,Coordinates for Mapping
Smaller Districts,123 River Street,Cambridge,Massachusetts,02139,900,5 years or more,Individual,River Gods,,Leased pending occupancy,"Arthur N. Dobelis 263 Hicks St. #4 Brooklyn, NY 11201","Arthur Dobelis, (646) 722-0824",POINT (-71.10871620999995 42.36404486100003)
Kendall Square,One Kendall Square,Cambridge,Massachusetts,02139,,6-10 months,Real Estate Investment Trust (REIT),Flat Top Johnny’s,,Unknown,"ARE-MA Region No. 59 LLC, 385 East Colorado Boulevard, Pasadena, CA 91101",,POINT (-71.09011699999996 42.36743900000005)
Fresh Pond-Alewife,93 Blanchard Rd,Cambridge,Massachusetts,02138,,6-10 months,Trust,Knittin Kitten,,Unknown,"Hillside Garden Supply Co., 280 Blanchard Rd., Belmont, MA 02478",,POINT (-71.15799258099997 42.39426321500008)
Inman Square,168 Hampshire Street,Cambridge,Massachusetts,02139,840,5 years or more,Real Estate Investment Trust (REIT),Lapel's Dry Cleaning,,Unknown,"Berkmar LLC c/o NCP Management Company, P.O. Box 590179, Newton Center, MA 02459","NCP Management, Inc. (617) 630-1868",POINT (-71.09891659199997 42.37186069200004)
East Cambridge,149 Cambridge Street,Cambridge,Massachusetts,02141,,6-10 months,,Law Offices,,Actively leasing,"Anthony Gargano, trustee of Gargano Family Trust, 149 Cambridge St., Cambridge, MA 02140",(617) 876-6780,POINT (-71.07825855299996 42.37099991300005)
East Cambridge,85 First Street,Cambridge,Massachusetts,02141,2500,1-2 years,Real Estate Investment Trust (REIT),New Space,,Actively leasing,"12 Jayne Road LLC, 30 Windsor Road, Needham, MA 02492",,POINT (-71.07772035099998 42.368181121000084)
Fresh Pond-Alewife,178 Alewife Brook Parkway,Cambridge,Massachusetts,02138,2500,1-2 years,Real Estate Investment Trust (REIT),Sprint,,Actively leasing,"The Fresh Pond Mall Limited Partnership, 545 Concord Ave, Cambridge, MA 02140","Vast Capital Management, (617) 491-4431",POINT (-71.140838429 42.39021789900005)
East Cambridge,40 Edwin Land Boulevard,Cambridge,Massachusetts,02142,,6-10 months,,Restaurant Dante,,Unknown,"Royal Sonesta Hotel Boston c/o Ryan, LLC, Pts Commercial 1 International Pl., 100 Oliver Street, 100 Oliver Street, 18th Fl. Boston, MA 02110",,POINT (-71.07527803199997 42.366481271000055)
North Massachusetts Ave.,2400 Massachusetts Avenue,Cambridge,Massachusetts,02140,,6-10 months,Trust,Grow Your Own,,Actively leasing,"Susan E. Glazier, trustee of Junction Realty Trust of Cambridge, 2994 Massachusetts Ave., Cambridge, MA 02140","Susan Glazier, Danehy Realty Corp., (617) 547-6808, susan.glazier@danehy.com",POINT (-71.13022492799996 42.39707446300008)
Harvard Square,12 Bow Street,Cambridge,Massachusetts,02138,,6-10 months,Trust,Cafe Pamplona,,Unknown,"Eliodora Yanguas Perez c/o The Eliodora Yanguas Perez Trust, 12 Bow St., Cambridge, MA 02138",,POINT (-71.11547302999998 42.37175969100008)
Harvard Square,22 JFK Street,Cambridge,Massachusetts,02138,3308,5 years or more,Trust,Uno's Pizza,,Actively leasing,"Alliara, LLC 1188 Centre Street, Newton Centre, MA 02459","Dartmouth Company, Lindsey Sandell, (617) 369-5936",POINT (-71.11952970299996 42.372909771000025)
