,Name,Latitude,Longitude,Address,Storefront Sales Status,Sales Options,Grocery Sales,Phone,Website,Facebook,Twitter,Instagram,LastModified
0,1369 Coffee House,42.390604,-71.121712,,Open,"Delivery, Take Out",yes,757 Massachusetts Ave,,https://www.facebook.com/1369Coffeehouse/,https://twitter.com/1369coffeehouse?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/1369coffeehouse/?hl=en,2020-06-16T17:08:30Z
1,1369 Coffee House,42.373793,-71.100367,,Open,"Delivery, Take Out, Outdoor Dining",,1369 Cambridge Street,,https://www.facebook.com/1369Coffeehouse/,https://twitter.com/1369coffeehouse,https://www.instagram.com/1369coffeehouse/?hl=en,2020-07-10T15:24:36Z
2,2 4-1 Optical,42.390604,-71.121712,,Open,,,1128 Massachusetts Ave,,https://www.facebook.com/241optical/,,,2020-06-16T17:09:04Z
3,5th Street Laundromat,42.369638,-71.083565,,Open,,,58 5th Street,,,,,2020-03-22T12:45:32Z
5,730 Tavern,42.366016,-71.105142,,Open,"Delivery, Take Out, Indoor Dining",,730 Massachusetts Ave,,https://www.facebook.com/730tavern/,,https://www.instagram.com/p/B9uqJpAgWJz/,2020-12-15T13:55:02Z
6,9Zaab Thai Street Food,42.375656,-71.115571,,Open,"Delivery, Take Out",,569 Cambridge St,,https://www.facebook.com/9Zaab/,,https://www.instagram.com/9Zaab/,2020-06-09T17:16:46Z
7,A&E Citgo Service Station,42.388669,-71.143298,,Open,,,199 Concord Ave,,,,,2020-03-22T13:56:16Z
8,Abbey,42.385102,-71.119124,,Open,"Delivery, Take Out, Outdoor Dining, Indoor Dining",,1755 Massachusetts Ave.,,https://www.facebook.com/abbey2cambridge/,https://twitter.com/Abbey2Cambridge,https://www.instagram.com/abbey2cambridge/,2020-10-07T20:17:47Z
9,ABC Pizza House,42.366153,-71.105349,,Open,"Delivery, Take Out",,744 Massachusetts Ave,,,,,2020-10-07T20:19:07Z
10,Abide Place,42.390604,-71.121712,,Closed,,,317 Massachusetts Ave,,,,https://www.instagram.com/abidecambridge/,2020-11-23T14:11:22Z
11,Abodeon,42.390604,-71.121712,Online Sales,Open,,,1731 Massachusetts Ave.,,https://www.facebook.com/abodeon/,https://twitter.com/abodeon/,,2020-07-05T23:01:47Z
12,Abroad Modern,42.388669,-71.143298,"Delivery, Online Sales",Open,,,260 Concord Ave,,https://www.facebook.com/AbroadModern/,,https://www.instagram.com/abroadmodern/,2020-06-09T17:21:10Z
13,Aceituna Grill,42.364663,-71.081835,,Open,"Delivery, Take Out",,605 West Kendall St,,https://www.facebook.com/aceitunagrill/,,https://www.instagram.com/aceitunagrill/,2021-01-11T13:21:28Z
14,Advance Tire Company,42.374834,-71.114462,,Open,,,185 Broadway,,https://www.facebook.com/www.advancetire.net,,,2020-06-09T17:21:10Z
15,Aestheticare Day Spa,42.375656,-71.115571,,Open,,,310 Cambridge St,,https://www.facebook.com/Aestheticare-Day-Spa-771184209580251/,,,2020-07-08T11:44:34Z
16,African Gift Items,42.387404,-71.118935,Online Sales,Open,,,1815 Massachusetts Ave.,,https://www.facebook.com/africangiftitems/,,https://www.instagram.com/africangiftitems/?hl=en,2020-07-05T23:01:47Z
17,Al Bara Market,42.367368,-71.1024,,Open,,,304 Prospect St.,,,,,2020-05-05T14:07:58Z
18,Al's Café,42.363981,-71.091511,,Open,Take Out,,600 Technology Square,,,,,2020-06-09T17:21:10Z
