,Commercial District,Address,City,State,Zip Code,Square Footage,Length of Vacancy,Ownership Type,Former Tenant/Current Business,Business for Sale,Leasing Activity,Recorded Owner,Leasing Contact,long,lat,harv_dist,mit_dist,min_dist
0,Smaller Districts,123 River Street,Cambridge,Massachusetts,2139,900.0,5 years or more,Individual,River Gods,,Leased pending occupancy,"Arthur N. Dobelis 263 Hicks St. #4 Brooklyn, NY 11201","Arthur Dobelis, (646) 722-0824",-71.10871620999995,42.36404486100003,1.3417116326188712,1.4445181430180394,1.3417116326188712
1,Kendall Square,One Kendall Square,Cambridge,Massachusetts,2139,,6-10 months,Real Estate Investment Trust (REIT),Flat Top Johnny’s,,Unknown,"ARE-MA Region No. 59 LLC, 385 East Colorado Boulevard, Pasadena, CA 91101",,-71.09011699999996,42.36743900000005,2.3479214890298095,0.8649017637670416,0.8649017637670416
2,Fresh Pond-Alewife,93 Blanchard Rd,Cambridge,Massachusetts,2138,,6-10 months,Trust,Knittin Kitten,,Unknown,"Hillside Garden Supply Co., 280 Blanchard Rd., Belmont, MA 02478",,-71.15799258099997,42.39426321500008,4.019788553921197,6.6318410201711036,4.019788553921197
3,Inman Square,168 Hampshire Street,Cambridge,Massachusetts,2139,840.0,5 years or more,Real Estate Investment Trust (REIT),Lapel's Dry Cleaning,,Unknown,"Berkmar LLC c/o NCP Management Company, P.O. Box 590179, Newton Center, MA 02459","NCP Management, Inc. (617) 630-1868",-71.09891659199997,42.37186069200004,1.5201768717061472,1.4533245539252568,1.4533245539252568
4,East Cambridge,149 Cambridge Street,Cambridge,Massachusetts,2141,,6-10 months,,Law Offices,,Actively leasing,"Anthony Gargano, trustee of Gargano Family Trust, 149 Cambridge St., Cambridge, MA 02140",(617) 876-6780,-71.07825855299996,42.37099991300005,3.213075893798388,1.686457354513148,1.686457354513148
5,East Cambridge,85 First Street,Cambridge,Massachusetts,2141,2500.0,1-2 years,Real Estate Investment Trust (REIT),New Space,,Actively leasing,"12 Jayne Road LLC, 30 Windsor Road, Needham, MA 02492",,-71.07772035099998,42.36818112100008,3.3081213333231636,1.5047512650756543,1.5047512650756543
6,Fresh Pond-Alewife,178 Alewife Brook Parkway,Cambridge,Massachusetts,2138,2500.0,1-2 years,Real Estate Investment Trust (REIT),Sprint,,Actively leasing,"The Fresh Pond Mall Limited Partnership, 545 Concord Ave, Cambridge, MA 02140","Vast Capital Management, (617) 491-4431",-71.140838429,42.39021789900005,2.625877122742878,5.241096341937275,2.625877122742878
7,East Cambridge,40 Edwin Land Boulevard,Cambridge,Massachusetts,2142,,6-10 months,,Restaurant Dante,,Unknown,"Royal Sonesta Hotel Boston c/o Ryan, LLC, Pts Commercial 1 International Pl., 100 Oliver Street, 100 Oliver Street, 18th Fl. Boston, MA 02110",,-71.07527803199997,42.366481271000055,3.5467609174520174,1.5691235759958626,1.5691235759958626
8,North Massachusetts Ave.,2400 Massachusetts Avenue,Cambridge,Massachusetts,2140,,6-10 months,Trust,Grow Your Own,,Actively leasing,"Susan E. Glazier, trustee of Junction Realty Trust of Cambridge, 2994 Massachusetts Ave., Cambridge, MA 02140","Susan Glazier, Danehy Realty Corp., (617) 547-6808, susan.glazier@danehy.com",-71.13022492799996,42.39707446300008,2.7420592104389083,5.1947825157213465,2.7420592104389083
9,Harvard Square,12 Bow Street,Cambridge,Massachusetts,2138,,6-10 months,Trust,Cafe Pamplona,,Unknown,"Eliodora Yanguas Perez c/o The Eliodora Yanguas Perez Trust, 12 Bow St., Cambridge, MA 02138",,-71.11547302999998,42.37175969100008,0.32257913595754945,2.3357939094746696,0.32257913595754945
