,Unnamed: 0,Name,Latitude,Longitude,Address,Storefront Sales Status,Sales Options,Grocery Sales,Phone,Website,Facebook,Twitter,Instagram,LastModified,harv_dist,mit_dist,min_dist
0,0,1369 Coffee House,42.390604,-71.121712,,Open,"Delivery, Take Out",yes,757 Massachusetts Ave,,https://www.facebook.com/1369Coffeehouse/,https://twitter.com/1369coffeehouse?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/1369coffeehouse/?hl=en,2020-06-16T17:08:30Z,1.841192104312489,4.20110282023835,0.0
1,1,1369 Coffee House,42.373793,-71.100367,,Open,"Delivery, Take Out, Outdoor Dining",,1369 Cambridge Street,,https://www.facebook.com/1369Coffeehouse/,https://twitter.com/1369coffeehouse,https://www.instagram.com/1369coffeehouse/?hl=en,2020-07-10T15:24:36Z,1.3762114532742242,1.6977255007758036,0.0
2,2,2 4-1 Optical,42.390604,-71.121712,,Open,,,1128 Massachusetts Ave,,https://www.facebook.com/241optical/,,,2020-06-16T17:09:04Z,1.841192104312489,4.20110282023835,0.0
3,3,5th Street Laundromat,42.369638,-71.083565,,Open,,,58 5th Street,,,,,2020-03-22T12:45:32Z,2.8052966057237185,1.2993884688097233,0.0
4,5,730 Tavern,42.366016,-71.105142,,Open,"Delivery, Take Out, Indoor Dining",,730 Massachusetts Ave,,https://www.facebook.com/730tavern/,,https://www.instagram.com/p/B9uqJpAgWJz/,2020-12-15T13:55:02Z,1.3543082260376655,1.275126147688533,0.0
5,6,9Zaab Thai Street Food,42.375656,-71.115571,,Open,"Delivery, Take Out",,569 Cambridge St,,https://www.facebook.com/9Zaab/,,https://www.instagram.com/9Zaab/,2020-06-09T17:16:46Z,0.18783102434742277,2.6127964735913025,0.0
6,7,A&E Citgo Service Station,42.388669,-71.143298,,Open,,,199 Concord Ave,,,,,2020-03-22T13:56:16Z,2.6735256338981,5.290816702266132,0.0
7,8,Abbey,42.385102,-71.119124,,Open,"Delivery, Take Out, Outdoor Dining, Indoor Dining",,1755 Massachusetts Ave.,,https://www.facebook.com/abbey2cambridge/,https://twitter.com/Abbey2Cambridge,https://www.instagram.com/abbey2cambridge/,2020-10-07T20:17:47Z,1.20156486231015,3.5838307342457525,0.0
8,9,ABC Pizza House,42.366153,-71.105349,,Open,"Delivery, Take Out",,744 Massachusetts Ave,,,,,2020-10-07T20:19:07Z,1.3314861961488382,1.2976795907576422,0.0
9,10,Abide Place,42.390604,-71.121712,,Closed,,,317 Massachusetts Ave,,,,https://www.instagram.com/abidecambridge/,2020-11-23T14:11:22Z,1.841192104312489,4.20110282023835,0.0
10,11,Abodeon,42.390604,-71.121712,Online Sales,Open,,,1731 Massachusetts Ave.,,https://www.facebook.com/abodeon/,https://twitter.com/abodeon/,,2020-07-05T23:01:47Z,1.841192104312489,4.20110282023835,0.0
11,12,Abroad Modern,42.388669,-71.143298,"Delivery, Online Sales",Open,,,260 Concord Ave,,https://www.facebook.com/AbroadModern/,,https://www.instagram.com/abroadmodern/,2020-06-09T17:21:10Z,2.6735256338981,5.290816702266132,0.0
